-0.11991,4.96472
-0.116018,3.70663
-0.00855589,4.86197
0.174713,3.37845
0.181449,3.20425
0.195613,4.74467
0.197777,4.53783
0.220098,4.29011
0.225205,4.1018
0.275158,4.39269
0.288669,3.91832
0.303965,2.95537
0.365328,4.41512
0.384389,4.17245
0.391571,3.6222
0.402283,3.90201
0.426667,3.69745
0.443527,3.97692
0.446468,2.93993
0.44962,4.18148
0.458734,3.42936
0.463771,2.36178
0.463857,4.11104
0.497392,4.07589
0.500617,4.08457
0.518299,3.40794
0.52228,4.02401
0.52609,3.05359
0.527738,3.04843
0.536797,1.48247
0.539582,0.869146
0.546405,3.42555
0.551403,3.19076
0.580855,3.61289
0.581151,3.24762
0.585837,3.57702
0.594999,3.72829
0.596973,1.47369
0.60898,3.03492
0.609953,2.49995
0.613515,3.97637
0.621179,4.29182
0.624767,4.01244
0.63494,3.34123
0.644242,2.79984
0.64476,3.58486
0.653795,3.48255
0.674907,4.18373
0.676586,3.83666
0.689068,3.10745
0.69216,4.18071
0.70101,2.86002
0.703836,2.60122
0.707005,3.71668
0.721779,3.52765
0.728217,4.15636
0.728915,3.82307
0.73593,3.58654
0.736392,4.15678
0.738398,4.0128
0.74138,3.46229
0.742766,4.0268
0.747964,3.04287
0.753066,2.25372
0.755041,3.67451
0.75625,3.28998
0.759044,3.97676
0.770397,2.94941
0.781002,3.79707
0.783209,4.15105
0.784851,3.32962
0.790642,1.80685
0.801204,3.57872
0.803191,3.08271
0.815285,3.47033
0.816061,3.32104
0.820647,3.87185
0.835338,3.82478
0.835915,3.38934
0.838852,3.04287
0.850038,3.43818
0.852219,3.30651
0.855973,2.58877
0.871409,2.53276
0.875101,4.11549
0.876705,3.23641
0.878573,3.57607
0.878759,3.90509
0.880538,4.08149
0.882832,3.95138
0.88875,3.77335
0.890265,1.8
0.891563,3.08318
0.898328,2.30304
0.910142,3.10732
0.914339,3.77361
0.921813,2.49725
0.922112,3.4274
0.925685,3.95313
0.935561,3.94222
0.937081,3.30291
0.938678,3.24937
0.940083,2.85127
0.941931,3.55786
0.946383,3.26844
0.947906,3.83317
0.949881,3.36065
0.95282,2.96597
0.956544,3.25223
0.958082,3.07124
0.959553,3.26168
0.96078,2.55284
0.964243,3.77677
0.973304,3.23379
0.975063,3.47491
0.977235,3.19386
